TITLE|ISSN|ISBN|START_DATE|END_DATE|PROVIDER|URL|EMBARGO|ENUMCAPTION1|ENUMSTART1|ENUMEND1|ENUMCAPTION2|ENUMSTART2|ENUMEND2
Medium Aevum|0025-8385||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;res_dat=xri:pao-us&amp;issn=00258385|0|Volume|undef||Issue|undef||
Nutrition reviews|0029-6643||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0029-6643&amp;genre=journal|365|Volume|undef||Issue|undef||
Nature structural & molecular biology|1545-9993||20040101||Nature|http://proxy.library.brocku.ca/login?url=http://www.nature.com/nsmb/archive/index.html|0|Volume|11||Issue|1||
Advanced powder technology|0921-8831||19990101|20081231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.sciencedirect.com/science/journal/09218831|0|Volume|undef|undef|Issue|undef|undef|
Journal of financial and quantitative analysis|0022-1090||20040101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Journal+of+financial+and+quantitative+analysis&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D23627&amp;genre=journal|0|Volume|39||Issue|1||
Modern theology|0266-7177||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0266-7177&amp;genre=journal|365|Volume|undef||Issue|undef||
Mediaeval studies|0076-5872||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=2DX&amp;scope=site|0|Volume|undef||Issue|undef||
Cambridge opera journal|0954-5867||20000101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/09545867.html|0|Volume|12||Issue|1||
International journal of police science & management|1461-3557||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=6OH&amp;scope=site|0|Volume|undef||Issue|undef||
Restorative neurology and neuroscience|0922-6028||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=3PP&amp;scope=site|365|Volume|undef||Issue|undef||
